job_title,country,salary,doj,dob
UX Designer,Netherlands,75063.68,2022-11-29,1989-06-24
Data Analyst,India,73612.20,2018-04-08,1986-06-21
Frontend Developer,Germany,73725.53,2024-03-05,1988-11-01
Marketing Manager,Switzerland,89926.11,2024-07-19,1983-12-05
Cloud Architect,Germany,122291.84,2015-06-23,1972-03-20
Product Manager,Sweden,128309.13,2024-11-03,1998-10-01
Customer Success Manager,South Africa,77441.77,2023-01-24,1977-01-06
Software Engineer,Japan,79932.96,2022-09-16,1986-03-07
System Administrator,India,58651.97,2016-01-28,1982-12-11
Database Administrator,Brazil,67618.69,2018-02-12,1977-10-10
Operations Manager,Singapore,82714.29,2018-05-10,1989-03-14
Cloud Architect,Sweden,136516.77,2015-11-01,1971-10-30
Data Scientist,Netherlands,126820.13,2016-12-04,1971-11-22
Security Analyst,Ireland,90589.89,2018-06-29,1988-07-07
Cloud Architect,Denmark,142450.68,2018-10-18,1975-09-15
Backend Developer,South Africa,85931.30,2016-10-19,1994-03-23
Marketing Manager,Germany,82695.25,2017-01-29,1998-12-22
Legal Counsel,Australia,146247.56,2021-08-14,1995-10-20
Data Analyst,UK,88517.61,2016-09-26,1999-07-23
Legal Counsel,Singapore,142781.69,2017-10-27,1978-03-20
Support Engineer,USA,55991.57,2024-02-04,1977-07-03
Content Writer,Mexico,52541.78,2019-02-23,1978-06-30
Software Engineer,UK,84941.67,2019-05-08,1993-05-10
Sales Manager,France,79004.65,2019-12-19,1981-08-26
Support Engineer,UK,57246.08,2022-07-29,1979-02-19
Data Scientist,Denmark,97454.88,2015-04-18,1986-02-24
Operations Manager,UAE,90896.67,2020-11-09,1990-09-30
Data Scientist,UAE,101210.70,2022-06-18,1997-04-30
Data Analyst,USA,76616.98,2024-03-29,1997-08-19
Technical Writer,Japan,84201.30,2022-03-27,1978-06-02
Operations Manager,Sweden,84897.71,2021-05-12,1994-02-14
QA Engineer,Japan,84610.24,2017-06-22,1998-12-28
Compliance Officer,New Zealand,107315.42,2021-06-14,1996-10-10
Sales Manager,Netherlands,99417.41,2022-12-02,1984-04-26
Financial Analyst,France,93196.49,2017-07-17,1995-09-17
Customer Success Manager,Denmark,77439.04,2024-10-21,1983-06-27
Customer Success Manager,Switzerland,95982.90,2022-10-27,1986-06-23
Frontend Developer,UK,81487.93,2022-03-23,1995-03-23
Network Engineer,Singapore,88250.31,2018-11-28,1995-05-10
Business Analyst,New Zealand,62390.21,2015-05-22,1977-07-02
Support Engineer,Norway,69599.79,2018-02-19,1976-12-24
UI Designer,Brazil,92319.83,2019-08-27,1984-08-16
Graphic Designer,Germany,54810.62,2016-10-02,1972-11-11
Cloud Architect,Singapore,140951.00,2022-10-14,1998-10-02
Data Scientist,New Zealand,125197.89,2021-11-18,1991-08-25
HR Manager,Japan,89237.52,2022-10-03,1982-07-03
Customer Success Manager,Japan,86000.20,2017-02-13,1991-10-22
Legal Counsel,Australia,134998.33,2017-03-16,1984-06-12
Junior Developer,India,69829.65,2022-03-17,1977-11-22
Full Stack Developer,France,100996.54,2020-02-24,1996-10-03
Financial Analyst,Brazil,97064.46,2018-02-14,1982-02-23
Project Manager,Ireland,97286.60,2016-04-07,1997-12-06
Graphic Designer,Singapore,52912.11,2018-12-14,1989-12-21
Compliance Officer,Japan,91982.73,2017-03-16,1990-07-25
Security Analyst,Canada,102124.08,2024-08-19,1985-12-10
QA Engineer,India,74014.62,2018-11-01,1987-11-11
Backend Developer,Germany,81836.21,2021-03-14,1986-06-06
Customer Success Manager,Netherlands,98214.23,2024-03-08,1984-02-12
HR Manager,Norway,85716.89,2024-02-10,1974-08-01
Security Analyst,Sweden,92700.05,2023-02-27,1977-04-14
DevOps Engineer,Netherlands,119839.64,2024-12-03,1993-02-05
Technical Writer,Mexico,83075.77,2024-09-08,1993-01-06
Network Engineer,UK,74938.50,2017-08-17,2000-03-13
Graphic Designer,Denmark,57948.43,2017-04-28,1997-09-20
System Administrator,South Africa,85100.21,2023-01-10,2000-02-11
Technical Writer,South Africa,80095.30,2020-11-09,1984-12-10
Engineering Manager,Japan,139114.78,2020-01-05,1989-07-17
Financial Analyst,Sweden,85644.92,2020-09-13,1979-01-21
CTO,Sweden,199123.93,2022-03-22,1994-01-17
Full Stack Developer,Japan,89255.46,2021-07-13,1978-06-10
Data Scientist,Canada,116344.29,2019-02-04,1989-03-16
Technical Writer,France,73186.09,2023-11-01,1992-01-01
Machine Learning Engineer,UK,149263.18,2021-12-31,1988-04-18
Cloud Architect,France,105427.35,2015-11-23,1988-12-29
Graphic Designer,Mexico,71331.77,2023-03-15,1985-07-27
Cloud Architect,UK,107866.97,2024-01-17,1990-05-15
Software Engineer,Norway,94581.72,2021-11-01,1972-08-12
Full Stack Developer,France,102669.79,2015-03-30,1979-06-06
System Administrator,India,72305.86,2018-10-26,1973-08-08
Customer Success Manager,Australia,67697.74,2017-09-19,1970-02-23
QA Engineer,Mexico,77770.06,2023-07-20,1973-07-06
IT Specialist,Norway,75390.26,2015-05-13,1977-07-09
VP of Engineering,Mexico,219776.56,2021-06-30,1975-09-22
Compliance Officer,France,87512.32,2022-03-02,1998-02-22
Machine Learning Engineer,Singapore,134616.39,2023-05-08,1973-03-15
Product Manager,South Africa,127185.34,2018-01-02,1981-01-03
Machine Learning Engineer,Brazil,101996.38,2018-10-25,1980-01-27
DevOps Engineer,Denmark,80406.28,2021-04-18,1998-11-21
Full Stack Developer,UK,91601.06,2020-05-29,1993-02-20
Scrum Master,Mexico,98114.31,2019-01-20,1992-02-12
Frontend Developer,France,66353.82,2021-05-25,1985-12-27
Engineering Manager,Ireland,164906.42,2018-11-16,1979-06-07
Engineering Manager,Norway,117452.00,2015-08-31,1998-10-03
Content Writer,Denmark,61511.39,2020-09-14,2000-07-07
Engineering Manager,Mexico,131919.83,2022-11-04,1981-09-28
QA Engineer,Germany,57256.95,2017-01-28,1978-01-04
Machine Learning Engineer,Canada,97280.61,2018-11-15,1973-04-22
Legal Counsel,Sweden,106440.97,2024-01-26,1983-07-08
Data Analyst,Denmark,67314.50,2020-05-07,1982-11-20
Backend Developer,Ireland,96860.39,2016-06-12,1992-12-08
Finance Manager,Brazil,92718.48,2017-07-10,1979-08-16
Sales Manager,Brazil,88713.57,2017-01-15,1985-01-23
Support Engineer,Ireland,79586.70,2023-04-24,1982-12-11
Security Analyst,Ireland,87179.79,2022-10-30,2000-04-26
Database Administrator,USA,89101.98,2022-08-20,1984-11-15
Software Engineer,Switzerland,65267.65,2017-02-21,1990-05-15
Machine Learning Engineer,Norway,100161.78,2015-02-27,1982-12-11
Software Engineer,Japan,71780.36,2015-01-24,1995-04-18
Machine Learning Engineer,UK,117441.89,2020-05-28,1992-09-20
Junior Developer,Germany,60804.24,2015-01-19,1993-08-12
QA Engineer,Denmark,62074.65,2021-04-10,1998-03-15
Full Stack Developer,UAE,78485.50,2019-09-22,1980-05-13
Engineering Manager,Brazil,150686.80,2024-10-19,1997-09-28
DevOps Engineer,Mexico,81641.13,2024-12-18,1989-01-23
Product Manager,Norway,98561.24,2015-10-14,1993-05-05
Machine Learning Engineer,Canada,105373.58,2021-04-02,1978-12-25
Machine Learning Engineer,UAE,102231.21,2019-11-20,1995-03-17
UX Designer,New Zealand,70129.07,2021-10-05,1975-09-15
Content Writer,Mexico,46014.56,2024-02-14,1986-03-29
Marketing Manager,Ireland,91538.40,2018-05-28,1976-10-04
Machine Learning Engineer,Germany,147492.52,2020-08-22,1986-09-03
Data Scientist,France,80724.67,2024-04-05,1982-11-05
Project Manager,Denmark,82146.17,2018-05-05,1979-08-26
Sales Manager,France,97253.22,2019-06-02,1971-08-12
Database Administrator,Canada,75967.92,2022-08-22,1997-12-16
Junior Developer,Switzerland,66378.17,2020-02-13,1978-08-17
Machine Learning Engineer,Netherlands,136619.46,2018-03-13,1985-04-28
Technical Writer,Japan,80145.52,2020-03-25,2000-12-01
Frontend Developer,Denmark,62621.83,2023-01-24,1981-03-01
Finance Manager,Switzerland,97314.45,2022-01-24,1985-03-27
Financial Analyst,UK,70586.87,2023-06-13,1977-10-03
Full Stack Developer,Denmark,75645.73,2018-12-04,1972-11-15
Finance Manager,USA,97738.71,2016-11-19,1985-10-15
Scrum Master,USA,85413.40,2023-05-02,1972-10-31
Accountant,France,72590.71,2021-12-13,1991-12-28
Database Administrator,Denmark,77128.38,2016-02-06,1978-10-12
Software Engineer,UK,77075.07,2018-01-06,2000-07-07
Full Stack Developer,Singapore,84762.90,2021-02-21,1982-11-08
Marketing Manager,UAE,100398.68,2017-10-19,1987-01-14
Security Analyst,France,108553.34,2023-04-19,1988-11-02
Product Manager,Singapore,101679.70,2019-02-11,1970-12-15
UX Designer,Australia,99684.78,2022-04-01,1989-05-27
UI Designer,Ireland,92958.13,2019-04-09,1993-11-21
UI Designer,Germany,78042.20,2024-10-01,1995-10-01
Marketing Manager,Japan,104198.75,2019-01-27,1998-09-22
Accountant,Germany,69189.53,2015-06-19,1995-05-08
Network Engineer,Canada,95868.98,2021-03-27,1976-10-20
Data Scientist,Ireland,110405.07,2022-02-26,1981-06-22
IT Specialist,Mexico,68968.92,2023-08-25,1991-02-04
Compliance Officer,Switzerland,80588.56,2019-04-10,1974-07-30
Product Manager,New Zealand,104840.64,2021-05-29,1986-01-21
Machine Learning Engineer,Netherlands,111625.40,2016-07-12,1991-05-06
Backend Developer,USA,96509.39,2022-06-15,1984-05-24
Senior Software Engineer,Switzerland,94301.95,2024-05-27,1988-08-16
Cloud Architect,Canada,154437.92,2016-07-24,1974-09-23
Security Analyst,Germany,75541.11,2020-02-20,1970-10-09
Frontend Developer,UK,79368.66,2024-06-20,1994-06-22
Finance Manager,Norway,115117.36,2024-09-11,1972-01-31
Backend Developer,Brazil,71955.61,2022-05-29,1999-10-22
Graphic Designer,Australia,65330.35,2015-01-03,1973-06-12
CTO,Sweden,250260.43,2023-05-15,1971-09-30
HR Manager,France,73453.42,2016-12-08,1979-07-28
Security Analyst,Japan,116787.72,2018-09-25,1970-11-28
Junior Developer,UK,63912.27,2024-03-07,1977-04-13
Cloud Architect,UK,129337.79,2016-06-17,1978-01-20
Network Engineer,Japan,87035.99,2022-08-06,1974-08-08
Legal Counsel,UAE,103236.70,2022-08-30,1976-04-10
QA Engineer,UK,68084.96,2019-02-20,1979-05-28
Data Analyst,France,67010.16,2024-01-02,1996-02-11
Senior Software Engineer,Netherlands,112041.80,2023-12-29,1985-03-04
Scrum Master,UK,77270.51,2022-02-14,1986-04-20
Project Manager,Brazil,85090.95,2022-06-29,1974-10-13
Compliance Officer,Mexico,89278.71,2022-12-05,1978-01-09
Engineering Manager,Mexico,166820.82,2017-12-18,1974-05-01
Backend Developer,France,78502.13,2022-01-07,1988-09-23
IT Specialist,USA,64299.54,2016-02-28,1996-09-30
HR Manager,UK,97436.33,2023-12-05,1992-12-20
Accountant,Brazil,58643.02,2016-03-28,1980-01-26
Cloud Architect,Netherlands,156256.56,2023-05-14,1976-02-13
DevOps Engineer,USA,88087.60,2022-06-28,1978-07-27
Support Engineer,France,61689.02,2015-09-12,1976-11-16
Frontend Developer,USA,77119.63,2023-06-01,1994-12-02
Database Administrator,Japan,76885.50,2024-10-20,1985-12-05
Data Analyst,Japan,78916.95,2019-02-16,1981-08-20
Finance Manager,India,111104.40,2018-12-25,1974-06-06
Content Writer,New Zealand,59965.93,2023-04-15,1981-09-28
Software Engineer,New Zealand,80198.53,2019-08-09,1975-09-05
Technical Writer,Denmark,81098.85,2016-12-29,1977-05-15
Full Stack Developer,UK,94288.66,2022-04-30,1988-05-11
Sales Manager,Canada,83065.44,2018-05-27,1980-05-07
Accountant,USA,71234.08,2015-10-21,1998-03-02
Customer Success Manager,Ireland,94129.41,2016-08-08,1975-12-21
Sales Manager,South Africa,118277.38,2019-09-28,1988-07-02
Finance Manager,Mexico,100558.56,2022-05-26,1975-09-22
Accountant,Ireland,78012.12,2019-07-30,1975-02-08
UI Designer,Denmark,63437.77,2019-12-31,1983-03-26
Junior Developer,Japan,67117.56,2019-09-20,1981-11-05
HR Manager,Brazil,94067.73,2022-03-26,1984-04-30
Product Manager,Brazil,102242.09,2020-09-09,1979-02-07
Accountant,New Zealand,57486.83,2015-04-18,1991-04-20
DevOps Engineer,South Africa,82274.26,2023-10-25,1974-10-10
Frontend Developer,South Africa,66303.90,2022-04-05,1985-01-28
Support Engineer,Netherlands,68561.90,2021-05-22,1998-12-24
Technical Writer,Japan,77225.64,2024-04-12,1971-08-19
Accountant,Brazil,79172.99,2017-12-22,1981-12-18
Sales Manager,Japan,103981.53,2015-07-22,1984-06-09
Sales Manager,Canada,89875.31,2023-04-15,1975-08-05
Full Stack Developer,Denmark,77237.42,2018-07-06,1997-09-19
CTO,Germany,208802.15,2021-05-17,1987-08-15
Network Engineer,Ireland,80626.21,2019-07-06,1991-11-30
VP of Engineering,Switzerland,163226.07,2018-05-22,1994-05-20
Scrum Master,Canada,99669.96,2020-06-04,1989-10-06
CTO,Australia,263223.36,2015-05-26,1992-02-24
Junior Developer,South Africa,46746.77,2017-10-14,1994-09-10
UX Designer,Ireland,70263.90,2017-03-31,1992-06-06
Operations Manager,Ireland,109594.73,2019-10-04,1971-06-13
Accountant,Singapore,75936.50,2024-03-18,1973-07-09
Database Administrator,Brazil,72736.66,2017-12-28,2000-06-16
CTO,Australia,271895.88,2016-11-29,1975-08-05
Security Analyst,USA,105989.52,2024-06-08,1998-08-29
Database Administrator,South Africa,68837.48,2018-03-29,1985-10-31
Product Manager,Japan,144251.83,2024-06-12,1997-02-28
Support Engineer,UK,60399.12,2023-08-03,1974-07-04
Finance Manager,Ireland,95908.92,2018-08-23,1979-05-02
Marketing Manager,Canada,97872.70,2023-07-09,1978-01-05
Software Engineer,India,72692.11,2017-03-24,1988-12-17
CTO,South Africa,226195.95,2023-01-08,1994-01-28
Security Analyst,Canada,116403.86,2016-09-30,1983-05-23
HR Manager,UAE,98212.72,2015-04-07,1978-05-09
Cloud Architect,UAE,148122.47,2019-10-28,1978-10-12
UI Designer,Ireland,62949.65,2018-08-04,1977-11-05
Database Administrator,UK,90878.84,2018-01-13,2000-10-11
Machine Learning Engineer,India,118178.23,2024-07-15,1987-08-22
Cloud Architect,USA,140400.43,2023-02-23,1978-07-13
HR Manager,Norway,99405.85,2023-03-20,1985-02-23
Machine Learning Engineer,Australia,96847.80,2017-07-10,1985-12-09
Operations Manager,Germany,112045.56,2016-07-28,1982-01-20
Data Analyst,Singapore,68705.87,2019-07-30,1988-08-05
Frontend Developer,Australia,86137.78,2022-02-09,1997-05-26
VP of Engineering,Canada,197108.22,2015-10-03,2000-07-10
DevOps Engineer,UAE,106911.80,2018-04-23,1971-10-28
Scrum Master,Denmark,76605.04,2017-06-22,1979-04-25
QA Engineer,Australia,76514.24,2018-05-07,1978-08-16
Finance Manager,South Africa,122537.21,2024-09-27,1987-05-10
Machine Learning Engineer,Norway,105427.44,2015-08-29,1995-03-29
Financial Analyst,Australia,73791.50,2022-10-19,1978-06-12
Customer Success Manager,Australia,72545.67,2022-06-19,1973-11-19
Business Analyst,UK,69346.60,2024-06-07,1971-07-30
Engineering Manager,Sweden,125058.80,2023-08-06,1985-04-22
DevOps Engineer,Mexico,117067.05,2024-05-02,1989-12-08
Data Scientist,UAE,117437.44,2017-04-30,1973-09-19
Technical Writer,Germany,71902.81,2020-05-13,1995-06-18
Technical Writer,UAE,78831.46,2015-10-19,1990-05-30
Junior Developer,Ireland,59705.99,2018-11-15,1981-02-04
Compliance Officer,Switzerland,85115.30,2016-09-03,1977-11-23
Content Writer,UAE,43907.75,2024-12-22,1978-12-25
Security Analyst,Australia,109206.63,2024-06-10,1994-08-04
IT Specialist,India,82698.17,2022-12-23,1974-06-30
Data Scientist,Norway,80372.78,2017-12-27,1985-11-18
IT Specialist,France,56691.23,2017-02-17,1983-02-27
Finance Manager,Singapore,113316.31,2023-11-30,1985-04-14
DevOps Engineer,Sweden,87431.75,2016-05-05,1985-03-09
Project Manager,Switzerland,115567.63,2015-06-26,1976-03-05
CTO,UK,224143.67,2021-10-29,1990-05-15
Frontend Developer,India,88712.12,2015-09-24,1995-01-31
Security Analyst,India,85753.94,2018-10-04,1991-01-19
Support Engineer,Mexico,54716.32,2022-07-31,1989-08-09
HR Manager,Switzerland,82801.43,2024-06-16,1998-08-28
Scrum Master,Netherlands,104651.25,2019-08-12,1977-04-02
Product Manager,Australia,117899.90,2020-12-25,1998-04-05
Database Administrator,Mexico,95887.56,2017-10-10,1987-02-02
Customer Success Manager,Sweden,80611.31,2022-04-18,1970-04-19
Financial Analyst,Australia,84087.85,2015-05-04,1978-03-04
Project Manager,Australia,106746.17,2021-12-10,1979-08-28
Machine Learning Engineer,Denmark,100853.30,2023-04-08,1984-10-16
VP of Engineering,New Zealand,192110.94,2019-02-04,1989-04-07
UI Designer,USA,67640.48,2017-09-13,1982-10-01
System Administrator,France,73914.25,2023-02-24,1970-12-25
Sales Manager,Germany,91745.98,2015-11-16,2000-04-27
Full Stack Developer,Australia,71579.69,2023-05-20,1996-03-01
Sales Manager,India,76961.91,2017-02-02,1980-06-09
Compliance Officer,USA,76735.50,2016-10-31,1970-08-27
Project Manager,New Zealand,82399.88,2019-01-28,1997-12-04
Product Manager,Singapore,113264.76,2016-10-31,1997-06-14
Project Manager,Denmark,105365.45,2023-04-10,1997-08-18
Scrum Master,Brazil,79917.87,2024-08-23,1993-12-16
Database Administrator,Ireland,83006.76,2023-08-26,1989-06-13
Junior Developer,Sweden,66511.67,2019-07-04,1992-10-28
Project Manager,Australia,105815.55,2018-02-03,1997-03-25
Backend Developer,Singapore,84033.77,2021-07-30,1973-07-06
Frontend Developer,France,77837.78,2019-12-25,1996-11-25
Sales Manager,Denmark,89881.75,2018-02-27,1986-09-26
Legal Counsel,New Zealand,114149.23,2019-11-30,1970-07-23
Content Writer,Canada,53788.22,2021-02-26,1991-08-11
Accountant,Australia,53617.87,2020-03-13,1995-02-25
Senior Software Engineer,Ireland,98284.93,2015-09-10,1989-08-02
Sales Manager,Mexico,104613.15,2019-11-17,1992-03-23
Engineering Manager,UK,167835.62,2019-12-01,1995-07-11
Sales Manager,Japan,104440.01,2022-04-18,1987-08-02
UI Designer,Brazil,68446.52,2022-01-08,1995-07-19
HR Manager,Germany,74597.62,2022-06-29,1995-08-20
Support Engineer,USA,62634.72,2019-04-11,1997-03-20
Engineering Manager,Brazil,122995.89,2018-04-04,1995-05-26
Content Writer,Norway,44595.26,2018-02-28,1979-10-01
Financial Analyst,India,75046.47,2016-10-30,1999-12-17
UI Designer,Australia,73248.94,2020-09-04,1993-07-14
Accountant,Norway,69455.22,2019-08-22,1974-11-09
Network Engineer,UAE,99024.84,2022-01-13,1995-07-19
Engineering Manager,India,150209.17,2024-09-29,1998-12-25
Financial Analyst,UAE,94948.47,2017-08-11,1975-07-14
Database Administrator,USA,83492.67,2015-06-01,1998-02-26
Sales Manager,Japan,117222.35,2020-03-26,1995-06-27
Project Manager,Denmark,110848.98,2022-05-23,1983-01-10
Operations Manager,India,88367.39,2023-04-07,1995-03-18
Sales Manager,Germany,108685.40,2015-05-03,2000-08-04
Support Engineer,Germany,72045.41,2020-02-28,1990-08-22
Graphic Designer,Singapore,54986.91,2020-11-17,1982-03-29
Engineering Manager,India,137932.36,2015-11-21,1987-06-10
Accountant,South Africa,64852.41,2023-03-28,1975-04-13
HR Manager,Mexico,75975.38,2015-06-12,1977-10-10
Security Analyst,Japan,119465.01,2023-03-17,1980-07-08
Technical Writer,Sweden,57039.55,2015-10-11,1999-08-01
HR Manager,Singapore,99626.73,2023-03-23,1973-09-29
Backend Developer,New Zealand,79658.04,2015-05-31,1996-11-07
Operations Manager,UAE,106504.32,2016-03-23,1999-09-14
QA Engineer,Ireland,80293.89,2016-07-07,1970-05-24
Engineering Manager,Brazil,139981.85,2018-04-20,1971-08-15
Machine Learning Engineer,USA,126288.48,2024-05-30,1976-05-15
Frontend Developer,Switzerland,75464.19,2018-04-02,1982-12-20
System Administrator,India,79627.25,2020-11-15,1974-01-31
Financial Analyst,Singapore,84821.19,2023-08-26,1986-04-02
VP of Engineering,UK,213918.34,2015-02-07,1985-02-09
Sales Manager,Norway,93377.46,2019-03-04,1975-01-27
Senior Software Engineer,Switzerland,129453.46,2019-05-24,1992-03-06
Compliance Officer,Norway,75504.28,2021-10-18,1984-08-30
Software Engineer,Brazil,87497.44,2022-03-07,1993-04-24
Support Engineer,South Africa,69216.97,2018-05-02,1987-10-14
Financial Analyst,UAE,91919.56,2016-06-11,1979-10-08
IT Specialist,Singapore,82850.21,2016-03-05,1990-04-29
CTO,France,250533.91,2016-04-05,1979-06-15
Technical Writer,USA,68431.10,2023-04-15,1984-12-12
Frontend Developer,Canada,72591.07,2020-09-16,1979-03-03
Financial Analyst,UAE,71381.84,2020-05-29,1979-02-04
System Administrator,Brazil,84505.26,2018-06-13,1977-06-09
Accountant,Mexico,72102.90,2023-01-13,1991-03-30
Security Analyst,South Africa,98212.67,2021-07-29,1971-07-16
DevOps Engineer,Australia,108684.24,2022-04-28,1975-11-10
Business Analyst,Netherlands,63089.65,2015-03-22,1992-08-21
Sales Manager,Norway,100377.91,2015-04-15,1996-08-09
Support Engineer,Denmark,55520.35,2018-02-18,1997-02-12
HR Manager,Sweden,96055.56,2017-11-15,1988-01-10
Accountant,Norway,59782.03,2021-07-20,1988-04-27
CTO,Norway,253235.27,2015-10-12,1989-06-28
UX Designer,Norway,78540.46,2024-04-08,1992-07-02
System Administrator,New Zealand,71798.50,2015-08-12,1989-05-31
Data Analyst,UAE,75575.57,2022-05-18,1993-11-29
Project Manager,Mexico,94730.65,2023-09-27,1986-07-21
Software Engineer,South Africa,85211.98,2023-02-09,1994-03-12
UI Designer,Ireland,75860.57,2015-09-10,1982-01-18
Engineering Manager,Ireland,117827.71,2019-12-05,1979-07-15
Machine Learning Engineer,Netherlands,121657.01,2016-11-25,1973-02-14
Project Manager,UK,96528.51,2022-11-01,1973-12-27
Sales Manager,France,87285.71,2017-02-26,1987-04-13
Network Engineer,UAE,74965.91,2022-09-17,1977-04-01
Data Analyst,USA,87749.98,2015-10-20,1973-01-03
Engineering Manager,South Africa,128413.10,2023-03-18,1972-08-30
System Administrator,Australia,57009.62,2024-06-02,2000-02-10
HR Manager,Australia,86658.97,2024-01-13,1988-03-04
Data Analyst,Switzerland,71515.24,2018-04-16,1985-11-26
VP of Engineering,India,188158.63,2021-05-23,1973-10-12
Full Stack Developer,UK,78827.17,2016-12-09,1983-09-02
Scrum Master,Canada,92034.14,2015-05-07,1997-08-15
Compliance Officer,France,82157.51,2018-03-06,1981-05-09
Network Engineer,Denmark,84584.77,2021-05-17,1990-09-16
Database Administrator,UAE,69265.09,2021-09-27,1979-04-11
Project Manager,India,104797.35,2017-05-01,1997-07-11
Cloud Architect,Singapore,112018.96,2015-03-08,1988-01-22
Finance Manager,Sweden,113726.84,2022-12-30,1986-04-25
Data Analyst,Switzerland,60201.17,2019-08-24,2000-09-13
CTO,Singapore,269249.20,2018-03-30,1983-01-07
Business Analyst,New Zealand,83491.06,2015-08-20,1979-01-06
CTO,UK,240611.08,2024-12-16,1973-07-04
QA Engineer,Switzerland,59985.87,2017-12-21,1970-10-26
Full Stack Developer,Ireland,95518.45,2015-12-17,1985-04-01
UX Designer,India,66317.49,2016-06-16,1985-11-12
Support Engineer,France,71488.97,2015-10-28,1989-09-09
Finance Manager,Norway,115316.86,2015-08-30,1992-03-20
Product Manager,India,141930.52,2020-02-21,1972-12-23
UI Designer,France,70696.42,2015-06-14,1999-09-28
Product Manager,Brazil,111676.77,2022-07-12,1972-01-11
Data Scientist,Canada,86654.33,2024-07-02,1979-03-12
Senior Software Engineer,Singapore,103014.99,2018-01-29,2000-07-08
Senior Software Engineer,Norway,113043.26,2022-09-06,1972-06-20
Compliance Officer,Switzerland,92300.72,2017-04-27,1999-08-29
